Aiol (1);"Leiden, UB, BPL 1049; Brussel, KB, IV 816"
Aiol (2);Breda, Arch. Begijnhof, z.s.
Alexanders geesten;München, Bayerische Staatsbibliotheek, Cod. germ. 41
Alexanders geesten;Gent, UB, 2749,6
Alexanders geesten;Leiden, UB, Ltk. 1196
Alexanders geesten;Donaueschingen, Fürstl. Fürstenb. Hofbibl., 173
Alexanders geesten;Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis d
Arturs doet;Den Haag, KB, 129 A 10
Arturs doet;Antwerpen, Rijksarchief te Antwerpen, Sint-Catharinakapittel en Sint-Catherinakerk te Hoogstraten, 2
Aubri de Borgengoen;Leiden, UB, Ltk. 211
Barlaam en Josaphat;Gent, UB, 1592
Barlaam en Josaphat;Göttingen, Niedersächs. Staats- und Univ.bibl, 4o Cod. ms.theol. 98, f.6
Beerte metten breden voeten;Brussel, KB, IV 398,7
Boeve van Hamtone;Düsseldorf, UB, K3: F 86
Boudewijn van Seborch;München, UB, 2o Cod. ms. 756
Boudewijn van Seborch;Amsterdam, UB, E q 73a
Roman van Caesar;"Brussel, KB, 19.613; Gent, UB, 1643"
Roman van Caesar;Prag, Nationalbibl., Teplá MS. Fragm. 44
Roman van Cassamus;Den Haag, KB, Bruikleen Academie, XXIV
Roman van Cassamus;Leiden, UB, Ltk. 1195
Roman van Cassamus;Brussel, KB, 18.228
Borchgrave van Couchi;"Arras, Bibl. mun., z.s. [zoek]; Leiden, UB, Ltk. 1024"
Borchgrave van Couchi;NA
Borchgrave van Couchi;Brussel, KB, 19.577
Ferguut;Leiden, UB, Ltk. 191
Fierabras;Bourbourg, Arch. mun., z.s. [zoek?]
Flandrijs;Straatsburg, Bibl. Nat. et Univ., 2937
Flandrijs;Leiden, UB, Vulc. 54 A
Floovent;Nürenberg, Bibl. Germ. Nationalmus., 18.423
Florent ende Durant;Kortrijk, Campus van de K.U. Leuven, Bibl., Fonds van St.-Maarten, 21
Florigout;"Leeuwarden, Prov.bibl., 1804; Leiden, UB, BPL 3253: 1; Düsseldorf, UB, K2:F 48"
Roman van Florimont;Den Bosch, Stadsarchief, z.s.
Floris ende Blancefloer;Leiden, UB, Ltk. 191, fol. 33-58
Floris ende Blancefloer;Leiden, UB, Ltk. 2040
Floyris ende Blantseflur;Trier, Stadtbibliothek, Mappe X, mhd. Fragmente, 13
Garijn van Montglavie;Brussel, KB, IV 1107
Geraert van Viane;Berlijn, Staatsbibl. Preuss. Kulturbes., Germ.fol. 751,2
Godevaerts kinsthede - Roman van Antiochië;"Wenen, Österr. Nat.bibl., 15.393; Gent, UB, 1647; Brussel, KB, IV 209,10; Leuven, Coll. J. Deschamps, z.s."
Historie van den Grale - Merlijns boec;Steinfurt, Burgsteinfurt, Fürst zu Bentheimische Schlossbibliothek, B37
Gwidekijn van Sassen;Amsterdam, UB, I A 24j
Huge van Bordeeus;Middelburg, Stadsarchief, z.s. [verloren gegaan]
Huge van Bordeeus;Leiden, UB, Ltk. 1352
Huge van Bordeeus;Nijmegen, Provinciebibl. Ned. Jezuïeten, 5000 PB 52 (fragm. Deschamps en fragm. Katwijk)
Huge van Bordeeus;Brussel, KB, II 719,49
Roman van Iechemias;Leiden, UB, BPL 2552,37
Jourdain de Blaye;Leiden, UB, Ltk. 2159
Karel ende Elegast;Arras, Bibl. mun., 227/383
Karel ende Elegast;Den Haag, KB, 131 D 5
Karel ende Elegast;Namen, Bibl. Société archéol. de Namur, 196 B 19
Karel ende Elegast;München, Bayerische Staatsbibliotheek, Cod. germ. 5249, Nr.69
Karel ende Elegast;Brussel, Stadsarchief, Oud Arch., Ms.1645
Karel ende Elegast;Gent, UB, 896a
Karel ende Elegast;Vercelli, Archivio di Stato, Prefettura, Giudiziario, Fondo Antico, mazzo 41 (fasc. 2)
Laidoen;Brussel, KB, 18.430
Lanceloet en het hert met de witte voet;Den Haag, KB, 129 A 10
Roman van Lancelot;Den Haag, KB, 129 A 10
Roman van Lancelot;Brussel, KB, II 115,3
Roman van Lancelot;Den Haag, KB, 75 H 58
Lantsloot van der Haghedochte;"Leiden, UB, Ltk. 1752; Münster, Studien- und Zentralbibl. der Franziskaner, z.s.; Mengeringhausen, Stadtarch. [?: zoek]; Marburg, Hessisches Staatsarch., Best. 147 Hr. 1,1"
Roman van Limborch;Leiden, UB, Ltk. 195
Roman van Limborch;Leiden, UB, Ltk. 196
Roman van Limborch;Parijs, BN, all. 116, f.22
Roman van Limborch;"Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis b; Brussel, KB, IV 583,1; Xanten, Stifts- und Pfarrarch., 41"
Roman van Limborch;Leiden, UB, BPL 3086
Roman van Limborch;Brussel, KB, II 5949,2
Roman van Limborch;Antwerpen, Mus. Plantin-Moretus, M 15.10
Roman van Limborch;NA
Roman van Limborch;Brussel, KB, IV 209,6
Roman van Limborch;Michelstadt, Nicolaus-Matz-Bibliothek, E 1057
Lion van Bourges;Amsterdam, UB, I A 24k
Roman der Lorreinen;"Greifswald, UB, 2o MS 638; Giessen, UB, 98; München, Bayerische Staatsbibliotheek, Cod. germ. 198; Nürenberg , Bibl. Germ. Nationalmus., 22.219; Stuttgart, Württemb. Landesbibl., Cod.misc. 4o 30d, XIV; Parijs, BN, all. 118, f.3; Berlijn, Staatsbibl. Preuss. Kulturbes., Germ. fol.1385; Kassel, Gesamthoch-schulbibl., 4o Ms. poet. et roman. 29; Tübingen, UB, ME IV 5"
Roman der Lorreinen;"Den Haag, KB, 133 D 1; fragm.-Willems [zoek]"
Roman der Lorreinen;Leiden, UB, Ltk. 1022
Loyhier en Malaert;Leiden, UB, Ltk. 209
Loyhier en Malaert;"Gent, UB, 1648; Antwerpen, Mus. Plantin-Moretus, M 15.10"
Madelgijs;Leiden, UB, Ltk. 202, 203
Madelgijs;Nürenberg, Bibl. Germ. Nationalmus., 42.584
Madelgijs;Antwerpen, Stadsbibl., 500.694
Madelgijs;"Rotterdam, Gem.bibl., 96 C 4; Düsseldorf, UB, K2: F 45"
Madelgijs;Gent, UB, 1618
Madelgijs;Gent, UB, 1651
Madelgijs;Londen, BL, Add. 35.251,k
Madelgijs;Parijs, BN, néerl. 119
Madelgijs;Berlijn, Staatsbibliotheek Preussischer Kulturbesitz, 923,47
Madelgijs;Leiden, UB, BPL 2552,34
Merlijn-continuatie;Burgsteinfurt, Fürst zu Bentheimische Schlossbibliothek, B37
Merlijn-continuatie;Leiden, UB, Ltk. 1107
Merlijn-continuatie;Maastricht, Rijksarch. in Limburg, 167 III 10
Merlijn-continuatie;Münster, Nordrhein-westfälisches Staatsarch., Dep. Landesberg-Velen
Roman van Moriaen;Den Haag, KB, 129 A 10
Roman van Moriaen;Brussel, KB, IV 1059
Nevelingenlied;Londen, BL, Egert. 2323, f.1,2
Ogier van Denemarken;Brussel, KB, 19.581
Ogier van Denemarken;Brussel, KB, IV 109,12
Ogier van Denemarken;"Kraków, Bibl. Jagiellonska (olim Berlijn, Preuss. Staatsbibl., Germ. qu. 1895,4); Leuven, UB, z.s."
Parthonopeus van Bloys;"Trier, Stadtbibl., Mappe IV, Deutsche Fragm., 3; Berlijn, Staatsbibl. Preuss. Kulturbes., Germ.fol. 757,22"
Parthonopeus van Bloys;"Keulen, Hist.Arch., Hss.-fragm. A 45; Leiden, UB, Ltk. 210; Brussel, KB, II 572"
Parthonopeus van Bloys;"Jena, UB, Prov. f.155; Groningen, UB, 406; Keulen, Erzbisch. Diözesan- und Dombibl. [?, zoek]"
Parthonopeus van Bloys;Maastricht, Rijksarch. in Limburg, 167 III 9
Parthonopeus van Bloys;Praag, Afd. Hist. hulpwetensch. en archivistiek v.d. filos. facult. v.d. Kareluniv., z.s.
Parthonopeus van Bloys;Keulen, Hist. Arch., W. 4o 322*
Roman van Perchevael;Den Haag, KB, 129 A 10
Roman van Perchevael;Luik, Bibl. génér. de l'Univ., 1333
Roman van Perchevael;Düsseldorf, UB, F 23
Roman van Perchevael;Brussel, KB, II 115,2
Roman van Perchevael;Praag, Mus. Nationale Letterk., 392/21
Queeste van den Grale;Den Haag, KB, 129 A 10
Queeste van den Grale;Brussel, KB, 21.143
Renout van Montalbaen;"Berlijn, Staatsbibl. Preuss. Kulturbes., Germ. fol. 751,1; 's-Gravenhage, KB, 133 L 11"
Renout van Montalbaen;"Leuven, UB [verloren gegaan; geen foto]"
Renout van Montalbaen;Riga, Stadsbibl.,3 [zoek]
Renout van Montalbaen;Stockholm, Statens Historisk Museum, Inv. Nr. 22895: 5
Renout van Montalbaen;Boedapest, Nat. Bibl. Széchényi, Cod. germ. 50
Roman van den riddere metter mouwen;Den Haag, KB, 129 A 10
Roman van den riddere metter mouwen;Brussel, KB, IV 818
Roelantslied;Den Haag, KB, 74 C 8
Roelantslied;Brussel, KB, 21.143
Roelantslied;"Lille, Bibl. mun., z.s. [zoek; geen foto]"
Roelantslied;Amsterdam, UB, I A 24l
Roelantslied;Rotterdam, Gem. bibl., 96 B 6:1
Saladijn-continuatie;Praag, Afd. Hist. hulpwetensch. en archivistiek v.d. filos. facult. v.d. Kareluniv., z.s.
Seghelijn van Jherusalem;Berlijn, Staatsbibliotheek Preussischer Kulturbesitz, Germ. Fol. 922, f. 71-122
Sibeli;Den Bosch, Archief van het Bisdom, z.s.
Roman van Torec;Den Haag, KB, 129 A 10
Tristan;Wenen, Österr. Nat.bibl., Ser. nova 3968
Seghers Trojeroman;Brussel, KB, IV 927
Seghers Trojeroman;Brussel, KB, 15.589-623
Historie van Troyen;Brussel, KB, IV 927
Historie van Troyen;Brussel, KB, 15.589-623
Historie van Troyen;Utrecht, UB, 1330
Historie van Troyen;"Leiden, UB, Ltk. 181, f.4, f.1-4; Berlijn, Deutsche Staatsbibl., Fragm. 18; Gent, UB, 2749,5"
Historie van Troyen;"Gent, Arch. Bissch. Sem., z.s.; Rotterdam, Gem.bibl., 96 B 6:3"
Historie van Troyen;Antwerpen, O.L.V.-college, 88 C 6
Historie van Troyen;Den Haag, KB, 131 D 4
Historie van Troyen;Gent, Kon. Acad. Ned. Taal- en Letterk., 1
Historie van Troyen;"Parijs, BN, néerl. 126; Gent, UB, 691; Leuven, Coll. J.M. de Smet, z.s."
Historie van Troyen;Gent, UB, 1594
Historie van Troyen;Gent, Kon. Acad. Ned. Taal- en Letterk., 7 bis a
Historie van Troyen;Brussel, KB, IV 209,5
Historie van Troyen;Brussel, KB, IV 1275, 1
Historie van Troyen;Leiden, UB, BPL 2387 
Historie van Troyen;Brussel, Stadsarchief, liasse 698
Historie van Troyen;New Haven Connecticut, Yale University Beinecke Rare Book and Manuscript Library, MS 712.36
Historie van Troyen;Abdijbibliotheek van Berne, z.s.
Valentijn en Nameloos;Berlijn, Staatsbibliotheek Preussischer Kulturbesitz, Germ. fol. 751,3
Valentijn en Nameloos;Gent, UB, 2749,9
Borchgravinne van Vergi (1);Brussel, KB, 15.589-623
Borchgravinne van Vergi (2);Gent, UB, 1590
Roman van Walewein;Leiden, UB, Ltk. 195
Roman van Walewein;Gent, UB, 1619
Walewein ende Keye;Den Haag, KB, 129 A 10
Willem van Oringen;Gent, UB, 2749,10
Van den bere Wisselau;Londen, BL, Egert. 2323, f.3-4
Wrake van Ragisel;Den Haag, KB, 129 A 10
Wrake van Ragisel;Düsseldorf, UB, F 26,a
Wrake van Ragisel;"Düsseldorf, UB, F 26,b; Leiden, UB, BPL 3085"
Ongeïdentificeerd (1);Krakau, Bibl. Jagiellonska (olim Berlijn, Preuss. Staatsbibl., Germ.qu. 1303,1
Ongeïdentificeerd (2);Gent, UB, 1646
Ongeïdentificeerd (3);Leiden, UB, Ltk. 1199
Ongeïdentificeerd (4);Alba Iulia, Bibl. Batthyaneum, z.s. [zoek]
Ongeïdentificeerd (5);Antwerpen, Bibl. Ruusbroecgenootsch., z.s. (1)
Ongeïdentificeerd (6);Antwerpen, Bibl. Ruusbroecgenootsch., z.s. (2)
Ongeïdentificeerd (7);Gent, UB, 173
Ongeïdentificeerd (8);Leiden, UB, BPL 2894
Alexanderroman;Antwerpen, Universiteitsbibliotheek, MAG-P 64.19
Willem van Oringen II;Oxford, Bodleian Library, Ms. Dutch b. 2, fol. 6
Proza-Lancelot;"Rotterdam, gemeentebibliotheek 96 A 7; Rotselaar, Wezemaal, archief van de Sint-Martinuskerk"